5033=Euronext Equities & Index Derivatives Level 2 (BBO 10)|5034=642|5035=201|5026=1|
5033=Euronext Interest Rate Futures and Options Level 2 (BBO 10)|5034=643|5035=201|5026=1|
5033=Vienna Derivatives Market Level 2|5034=644|5035=201|5026=1|
5033=Prague Stock Exchange|5034=645|5035=201|5026=1|
5033=London Stock Exchange UK Equity Market Service Level 1 Plus|5034=646|5035=201|5026=1|
5033=London Stock Exchange International Equity Market Service Level 1 Plus|5034=647|5035=201|5026=1|
5033=Inactive Exchange|5034=648|5035=201|5026=1|
5033=EuroMTS - MTS Markets Level 1 & Level 2|5034=649|5035=201|5026=1|
5033=Inactive Exchange starting Oct 3, 2007; was Tullett and Tokyo Surf -  Options, Misc. Fixings and Mor|5034=650|5035=201|5026=1|
5033=Luxembourg Stock Exchange - Level 1 and Indices|5034=651|5035=201|5026=1|
5033=Borsa Italiana: DER Module (derivatives market) Level 2|5034=652|5035=201|5026=1|
5033=CBOE Indices feed|5034=653|5035=201|5026=1|
5033=Economic & Financial Indicators and Global Closing Equity Indices|5034=654|5035=201|5026=1|
5033=Bulgaria Stock Exchange|5034=655|5035=201|5026=1|
5033=Xetra European Stars Level 2|5034=656|5035=201|5026=1|
5033=Xetra US Stars Level 2|5034=657|5035=201|5026=1|
5033=IBEX Indices|5034=658|5035=201|5026=1|
5033=Johannesburg Indices|5034=659|5035=201|5026=1|
5033=OMX - Nordic Basic Indices|5034=660|5035=201|5026=1|
5033=iBoxx Indices|5034=661|5035=201|5026=1|
5033=Virt-X Level 2|5034=662|5035=201|5026=1|
5033=OMX - Nordic Equities Level 2|5034=663|5035=201|5026=1|
5033=Bucharest Stock Exchange|5034=664|5035=201|5026=1|
5033=Inactive Exchange starting Jan 9, 2008; was Euribor|5034=665|5035=201|5026=1|
5033=CBOE Futures Exchange|5034=666|5035=201|5026=1|
5033=CME E-mini RLC Level 2|5034=673|5035=201|5026=1|
5033=CBOT (Chicago Board of Trade)|5034=674|5035=201|5026=1|
5033=NYBOT (New York Board of Trade)|5034=675|5035=201|5026=1|
5033=CME Globex RLC Level 2|5034=676|5035=201|5026=1|
5033=COMEX (New York Commodities Exchange)|5034=677|5035=201|5026=1|
5033=NYMEX e-miNY Futures|5034=678|5035=201|5026=1|
5033=Minneapolis Grain Exchange|5034=679|5035=201|5026=1|
5033=CME GLOBEX|5034=680|5035=201|5026=1|
5033=GTIS Basic FX Snapshot|5034=681|5035=201|5026=1|
